Date,Open,High,Low,Close,Volume
8-Nov-17,153.10,153.95,150.90,151.10,115844
7-Nov-17,155.65,155.65,152.70,153.25,106486
6-Nov-17,154.25,155.10,152.85,155.10,85705
3-Nov-17,156.75,156.80,153.10,153.50,114384
2-Nov-17,155.50,158.10,154.15,156.90,171252
1-Nov-17,151.45,155.20,150.25,155.00,179319
30-Oct-17,151.30,152.50,150.65,151.50,129645
27-Oct-17,151.05,152.40,149.75,151.20,122646
26-Oct-17,147.40,151.55,146.80,150.50,125908
25-Oct-17,148.25,148.75,146.65,147.45,102441
24-Oct-17,150.30,152.10,148.20,148.75,79758
23-Oct-17,150.30,151.05,149.45,150.30,57531
20-Oct-17,150.45,151.50,148.65,150.15,133386
19-Oct-17,150.60,152.25,149.00,149.05,240864
18-Oct-17,150.00,158.00,144.20,151.00,658077
17-Oct-17,147.55,150.95,146.15,149.45,247042
16-Oct-17,143.90,146.45,142.70,144.85,134222
13-Oct-17,138.35,140.75,137.85,140.00,126132
12-Oct-17,140.65,141.10,138.30,139.55,93449
11-Oct-17,141.60,142.05,137.15,139.90,212402
10-Oct-17,142.25,142.25,140.70,141.90,70304
9-Oct-17,142.15,144.00,140.95,141.25,72926
6-Oct-17,142.20,144.40,141.35,143.35,97478
5-Oct-17,140.75,143.40,140.50,143.40,96954
4-Oct-17,144.15,145.65,141.45,141.75,118603
2-Oct-17,142.55,144.55,142.30,143.85,70033
29-Sep-17,143.00,143.75,141.00,142.75,86194
28-Sep-17,140.20,142.90,138.20,142.90,124437
27-Sep-17,137.45,140.20,137.30,139.70,100882
26-Sep-17,137.30,138.60,137.20,137.80,87250
25-Sep-17,138.10,138.85,136.50,137.75,94862
22-Sep-17,139.05,139.60,137.60,139.30,80062
21-Sep-17,137.00,139.35,135.15,139.30,162925
20-Sep-17,146.00,146.15,132.50,136.55,357864
19-Sep-17,147.90,149.55,146.75,147.00,70672
18-Sep-17,148.50,149.00,147.70,148.20,49716
15-Sep-17,147.30,149.25,146.90,148.00,106663
14-Sep-17,146.70,148.05,146.40,147.40,71425
13-Sep-17,147.10,147.55,146.50,147.10,67258
12-Sep-17,148.25,148.95,147.00,147.30,59127
11-Sep-17,148.00,148.65,147.45,148.25,70268
8-Sep-17,147.60,147.65,146.70,147.35,44494
7-Sep-17,147.10,148.75,147.00,148.10,41185
6-Sep-17,147.65,147.85,146.25,147.05,56099
5-Sep-17,147.90,149.70,147.70,148.65,46372
4-Sep-17,147.60,148.80,146.05,147.80,76578
1-Sep-17,148.45,150.75,148.45,149.90,68366
31-Aug-17,148.70,148.90,147.55,148.05,64658
30-Aug-17,146.60,147.85,146.20,147.85,71200
29-Aug-17,147.00,147.30,145.10,146.05,52852
28-Aug-17,148.50,149.00,147.70,147.80,24917
25-Aug-17,149.20,150.50,148.55,149.25,36089
24-Aug-17,151.85,152.00,149.50,149.50,46336
23-Aug-17,152.00,152.75,151.35,151.40,58558
22-Aug-17,150.35,152.45,150.00,152.00,51099
21-Aug-17,150.40,151.40,149.35,149.90,46813
18-Aug-17,150.10,151.05,149.60,151.05,55615
17-Aug-17,151.95,152.80,151.35,151.65,44589
16-Aug-17,151.10,152.90,151.10,152.70,55550
15-Aug-17,150.45,151.80,149.75,150.40,36460
14-Aug-17,148.80,150.95,148.80,150.05,62058
11-Aug-17,148.00,148.10,146.55,147.85,52121
10-Aug-17,150.30,150.50,148.35,148.70,55828
9-Aug-17,150.30,151.55,149.35,150.55,77124
8-Aug-17,151.10,152.15,149.85,151.30,80768
7-Aug-17,150.50,151.60,150.20,151.40,60051
4-Aug-17,149.00,150.90,148.65,150.50,68695
3-Aug-17,148.95,150.00,148.25,149.45,51762
2-Aug-17,149.80,150.00,148.45,149.30,98296
1-Aug-17,150.55,151.25,149.60,150.30,122097
31-Jul-17,151.35,152.05,150.65,151.00,106861
28-Jul-17,149.00,151.50,148.80,151.50,109321
27-Jul-17,150.40,151.85,148.90,150.40,82201
26-Jul-17,151.10,152.90,150.15,151.20,78455
25-Jul-17,151.00,152.45,149.15,151.65,91075
24-Jul-17,149.55,150.75,147.75,149.70,110942
21-Jul-17,157.90,157.90,147.65,149.95,243020
20-Jul-17,160.75,162.40,158.50,158.60,130785
19-Jul-17,158.15,160.75,157.70,160.25,82847
18-Jul-17,157.50,159.15,156.70,157.25,63269
17-Jul-17,158.15,159.20,157.80,158.00,42766
14-Jul-17,157.65,158.65,156.65,158.10,62298
13-Jul-17,156.90,158.20,156.30,157.90,100913
12-Jul-17,154.50,157.20,154.50,156.95,50498
11-Jul-17,156.40,157.20,154.30,154.50,74101
10-Jul-17,155.00,157.35,154.55,156.25,80549
7-Jul-17,156.00,156.60,153.70,155.65,134700
6-Jul-17,159.95,160.35,155.60,156.00,104895
5-Jul-17,158.90,160.70,158.60,160.25,42890
4-Jul-17,160.20,161.35,158.55,158.80,63290
3-Jul-17,160.15,161.60,159.45,161.00,52390
30-Jun-17,161.05,162.05,160.00,160.40,84945
29-Jun-17,164.50,164.50,159.80,160.85,101687
28-Jun-17,164.70,164.70,161.35,164.00,111253
27-Jun-17,168.00,168.00,165.25,165.50,69017
26-Jun-17,168.40,169.25,167.90,168.15,48315
23-Jun-17,169.35,169.70,167.60,168.35,45004
22-Jun-17,169.25,170.10,168.20,169.70,47622
21-Jun-17,169.75,170.35,168.35,169.95,66922
20-Jun-17,172.15,172.45,170.15,170.15,48911
19-Jun-17,171.90,171.90,171.90,171.50,55161
16-Jun-17,166.50,171.65,166.35,171.25,124587
15-Jun-17,167.80,168.45,165.25,166.40,68044
14-Jun-17,167.00,169.25,167.00,168.35,81334
13-Jun-17,165.80,167.15,165.75,166.50,46907
12-Jun-17,166.00,166.20,164.15,165.35,73253
9-Jun-17,164.50,166.80,164.05,166.80,63750
8-Jun-17,164.35,165.60,163.00,164.35,59257
7-Jun-17,163.50,165.35,162.95,164.60,77085
6-Jun-17,164.55,165.75,162.50,163.55,71160
2-Jun-17,164.60,165.05,163.80,164.55,50227
1-Jun-17,164.25,165.20,163.50,163.75,61178
31-May-17,164.10,164.75,163.05,163.75,111620
30-May-17,163.40,164.50,163.15,163.75,39603
29-May-17,163.00,164.15,162.95,163.90,18008
26-May-17,163.30,163.85,161.85,163.85,46762
25-May-17,165.55,165.55,162.80,163.70,59154
24-May-17,163.30,164.90,162.85,164.90,75085
23-May-17,162.60,164.45,162.60,163.10,79416
22-May-17,164.50,164.65,162.95,162.95,51610
19-May-17,161.95,164.05,161.85,164.00,57453
18-May-17,163.45,164.15,160.85,161.55,119171
17-May-17,165.75,166.55,162.35,163.30,86210
16-May-17,167.60,168.45,165.95,166.80,66948
15-May-17,169.00,169.35,167.55,168.00,64807
12-May-17,169.00,170.05,167.60,168.65,98237
11-May-17,170.00,171.40,167.75,168.85,130165
10-May-17,172.30,174.00,168.90,170.75,103785
9-May-17,171.05,172.55,170.90,171.30,79789
8-May-17,172.40,172.70,169.80,171.00,70229
5-May-17,172.00,172.00,170.25,171.55,49921
4-May-17,168.85,172.40,168.85,172.20,61510
3-May-17,170.95,170.95,167.85,169.00,75398
2-May-17,165.70,170.40,165.50,170.40,106800
28-Apr-17,166.60,167.05,165.40,165.40,72035
27-Apr-17,166.25,167.50,165.80,166.45,59405
26-Apr-17,164.90,167.15,164.85,167.15,49265
25-Apr-17,165.70,166.25,164.70,164.70,60283
24-Apr-17,163.35,166.15,163.35,165.40,78726
21-Apr-17,160.75,161.70,160.15,161.30,48547
20-Apr-17,158.50,160.80,158.25,160.70,42709
19-Apr-17,159.75,160.45,158.95,159.25,60573
18-Apr-17,161.00,162.25,159.00,159.20,61289
13-Apr-17,160.95,161.70,159.20,160.85,55401
12-Apr-17,162.20,162.45,160.80,161.05,45447
11-Apr-17,159.90,162.50,159.60,162.00,79619
10-Apr-17,160.35,160.90,159.80,160.40,47596
7-Apr-17,159.15,160.55,158.70,160.55,62641
6-Apr-17,156.50,159.15,155.60,159.00,73662
5-Apr-17,156.30,157.70,155.80,157.05,69138
4-Apr-17,155.30,156.50,154.30,156.05,65544
3-Apr-17,155.30,156.30,155.15,155.35,60950
31-Mar-17,154.25,155.10,153.40,154.95,65810
30-Mar-17,151.55,154.85,151.55,154.60,66003
29-Mar-17,152.50,152.70,150.95,151.55,81894
28-Mar-17,151.95,152.80,149.95,151.95,101832
27-Mar-17,151.50,151.95,151.00,151.50,66008
24-Mar-17,153.65,154.20,151.90,152.90,46618
23-Mar-17,151.25,153.70,151.00,153.70,64567
22-Mar-17,151.50,152.00,149.40,151.50,81573
21-Mar-17,154.10,154.75,152.40,152.50,63788
20-Mar-17,154.00,155.00,154.00,154.10,47340
17-Mar-17,153.55,154.70,153.15,154.30,88824
16-Mar-17,153.30,154.35,152.85,153.95,78044
15-Mar-17,152.05,153.30,151.70,152.50,68395
14-Mar-17,152.50,153.50,151.65,151.95,100410
13-Mar-17,153.05,153.85,152.05,152.25,56930
10-Mar-17,153.70,154.20,152.00,152.85,65126
9-Mar-17,152.00,153.00,151.00,153.00,68877
8-Mar-17,150.80,152.40,150.20,152.00,51772
7-Mar-17,150.90,152.45,150.45,150.70,69572
6-Mar-17,150.20,151.80,150.05,150.85,46484
3-Mar-17,150.15,152.30,149.75,150.35,70224
2-Mar-17,148.65,150.75,148.35,150.65,71198
1-Mar-17,145.20,149.00,144.60,148.10,104242
28-Feb-17,145.00,145.55,140.85,144.00,177762
27-Feb-17,143.25,143.75,141.95,143.30,41770
24-Feb-17,143.90,143.90,141.00,142.70,70796
23-Feb-17,142.50,144.55,142.50,143.60,66836
22-Feb-17,143.20,143.40,142.35,143.00,48147
21-Feb-17,141.20,143.10,141.20,142.95,58789
20-Feb-17,140.85,141.95,140.80,141.40,24390
17-Feb-17,141.35,141.70,140.40,140.70,54095
16-Feb-17,142.00,142.50,140.95,141.35,71059
15-Feb-17,143.10,143.35,142.00,142.35,51893
14-Feb-17,142.20,143.60,142.15,142.45,53162
13-Feb-17,139.35,142.95,139.35,142.55,78628
10-Feb-17,138.70,140.60,138.60,140.50,70800
9-Feb-17,135.95,139.10,135.60,138.70,95728
8-Feb-17,136.10,137.55,134.90,135.70,70916
7-Feb-17,133.05,135.30,132.80,134.45,67182
6-Feb-17,135.90,135.90,132.85,133.00,70230
3-Feb-17,133.70,136.40,133.00,135.75,69888
2-Feb-17,133.15,134.25,133.15,133.60,68480
1-Feb-17,132.00,134.75,131.85,133.25,55199
31-Jan-17,133.60,133.95,131.45,131.45,74661
30-Jan-17,136.25,136.25,133.15,133.25,47513
27-Jan-17,134.70,136.45,134.50,136.25,62786
26-Jan-17,135.00,135.65,134.05,134.50,37784
25-Jan-17,133.75,135.55,133.75,134.80,74371
24-Jan-17,134.05,134.60,133.05,133.50,63204
23-Jan-17,134.55,135.15,133.90,134.05,64280
20-Jan-17,134.10,135.30,133.35,135.10,71271
19-Jan-17,135.95,136.20,133.95,134.45,63876
18-Jan-17,136.80,136.80,134.30,135.95,87288
17-Jan-17,135.80,137.30,135.50,136.65,75351
16-Jan-17,137.95,138.30,135.70,135.70,47920
13-Jan-17,135.65,138.85,134.95,138.30,69004
12-Jan-17,135.50,136.45,134.75,135.50,59298
11-Jan-17,135.20,137.00,135.20,136.00,56531
10-Jan-17,133.40,136.00,133.40,135.40,62555
9-Jan-17,134.00,134.25,132.90,133.35,51364
6-Jan-17,132.20,134.30,132.20,134.10,41805
5-Jan-17,134.50,134.60,131.65,132.90,67252
4-Jan-17,136.60,136.70,134.30,134.50,58996
3-Jan-17,136.30,138.00,136.05,136.60,82175
2-Jan-17,132.05,136.55,131.65,136.20,41505
30-Dec-16,133.80,134.10,132.75,133.05,31084
29-Dec-16,133.85,134.60,133.30,134.10,33070
28-Dec-16,135.15,136.25,134.70,134.80,37280
27-Dec-16,134.45,136.15,134.45,135.35,22127
23-Dec-16,134.05,135.20,133.95,134.45,31367
22-Dec-16,134.40,135.20,133.90,134.10,38672
21-Dec-16,131.90,135.00,131.55,134.70,69490
20-Dec-16,132.90,134.00,132.45,132.45,99089
19-Dec-16,133.35,134.35,133.25,133.30,69608
16-Dec-16,132.30,135.20,131.90,133.75,172050
15-Dec-16,132.20,133.25,131.55,132.50,136972
14-Dec-16,133.75,133.75,132.55,133.00,52364
13-Dec-16,132.70,134.25,131.70,134.10,61789
12-Dec-16,133.85,134.35,132.70,133.20,50030
9-Dec-16,133.05,135.15,132.75,133.95,76756
8-Dec-16,133.30,133.80,131.65,133.40,88248
7-Dec-16,138.00,138.05,129.95,133.20,173750
6-Dec-16,135.80,137.10,135.30,136.80,55456
5-Dec-16,133.35,136.20,133.35,135.55,90125
2-Dec-16,134.50,135.00,133.30,133.90,66494
1-Dec-16,134.50,136.80,134.20,135.40,79301
30-Nov-16,132.00,134.65,132.00,134.20,117216
29-Nov-16,130.60,132.65,130.05,132.40,84937
28-Nov-16,131.75,132.20,131.00,131.20,60832
25-Nov-16,132.40,132.70,131.20,132.50,48505
24-Nov-16,132.10,132.65,131.10,132.55,57771
23-Nov-16,132.20,134.20,131.50,131.95,82676
22-Nov-16,131.00,132.95,130.60,131.75,88880
21-Nov-16,131.40,132.20,129.65,130.50,92283
18-Nov-16,131.50,133.50,131.35,132.70,83479
17-Nov-16,131.70,133.20,130.40,131.50,109397
16-Nov-16,131.00,133.60,131.00,132.20,71271
15-Nov-16,129.00,132.35,128.95,131.45,81723
14-Nov-16,127.55,129.20,126.80,128.50,79305
11-Nov-16,129.85,129.90,126.45,126.65,83832
10-Nov-16,129.75,132.65,128.55,129.30,111081
